analysis             sr                 signal_normevents  signal_err_tot  
atlas_1807_07447     2e1g1b3j           0.0                0.0753135       
atlas_1807_07447     2e1g1j             0.0                0.0753135       
atlas_1807_07447     2e1g2b             0.0                0.0753135       
atlas_1807_07447     2e1g2b1j           0.0                0.0753135       
atlas_1807_07447     2e1g2j             0.0                0.0753135       
atlas_1807_07447     2e1g3b             0.0                0.0753135       
atlas_1807_07447     2e1g3j             0.0                0.0753135       
atlas_1807_07447     2e1g4j             0.0                0.0753135       
atlas_1807_07447     2e1g5j             0.0                0.0753135       
atlas_1807_07447     2e1j               0.0                0.0753135       
atlas_1807_07447     2e2b               0.0                0.0753135       
atlas_1807_07447     2e2b1j             0.0                0.0753135       
atlas_1807_07447     2e2b2j             0.0                0.0753135       
atlas_1807_07447     2e2b3j             0.0                0.0753135       
atlas_1807_07447     2e2b4j             0.0                0.0753135       
atlas_1807_07447     2e2b5j             0.0                0.0753135       
atlas_1807_07447     2e2g               0.0                0.0753135       
atlas_1807_07447     2e2j               0.0                0.0753135       
atlas_1807_07447     2e3b               0.0                0.0753135       
atlas_1807_07447     2e3b1j             0.0                0.0753135       
atlas_1807_07447     2e3b2j             0.0                0.0753135       
atlas_1807_07447     2e3b3j             0.0                0.0753135       
atlas_1807_07447     2e3b4j             0.0                0.0753135       
atlas_1807_07447     2e3j               0.0                0.0753135       
atlas_1807_07447     2e4b               0.0                0.0753135       
atlas_1807_07447     2e4b1j             0.0                0.0753135       
atlas_1807_07447     2e4j               0.0                0.0753135       
atlas_1807_07447     2e5j               0.0                0.0753135       
atlas_1807_07447     2e6j               0.0                0.0753135       
atlas_1807_07447     2e7j               0.0                0.0753135       
atlas_1807_07447     2e8j               0.0                0.0753135       
atlas_1807_07447     2g                 0.0                0.0753135       
atlas_1807_07447     2g1b               0.0                0.0753135       
atlas_1807_07447     2g1b1j             0.0                0.0753135       
atlas_1807_07447     2g1b2j             0.0                0.0753135       
atlas_1807_07447     2g1b3j             0.0                0.0753135       
atlas_1807_07447     2g1b4j             0.0                0.0753135       
atlas_1807_07447     2g1b5j             0.0                0.0753135       
atlas_1807_07447     2g1j               0.0                0.0753135       
atlas_1807_07447     2g2b               0.0                0.0753135       
atlas_1807_07447     2g2b1j             0.0                0.0753135       
atlas_1807_07447     2g2b2j             0.0                0.0753135       
atlas_1807_07447     2g2b3j             0.0                0.0753135       
atlas_1807_07447     2g2j               0.0                0.0753135       
atlas_1807_07447     2g3j               0.0                0.0753135       
atlas_1807_07447     2g4j               0.0                0.0753135       
atlas_1807_07447     2g5j               0.0                0.0753135       
atlas_1807_07447     2g6j               0.0                0.0753135       
atlas_1807_07447     2g7j               0.0                0.0753135       
atlas_1807_07447     2j                 181.7314755        3.69957206715   
atlas_1807_07447     2m                 0.0                0.0753135       
atlas_1807_07447     2m1b               0.0                0.0753135       
atlas_1807_07447     2m1b1j             0.0                0.0753135       
atlas_1807_07447     2m1b2j             0.0                0.0753135       
atlas_1807_07447     2m1b3j             0.0                0.0753135       
atlas_1807_07447     2m1b4j             0.0                0.0753135       
atlas_1807_07447     2m1b5j             0.0                0.0753135       
atlas_1807_07447     2m1b6j             0.0                0.0753135       
atlas_1807_07447     2m1b7j             0.0                0.0753135       
atlas_1807_07447     2m1e               0.0                0.0753135       
atlas_1807_07447     2m1e1b             0.0                0.0753135       
atlas_1807_07447     2m1e1b1j           0.0                0.0753135       
atlas_1807_07447     2m1e1b2j           0.0                0.0753135       
atlas_1807_07447     2m1e1b3j           0.0                0.0753135       
atlas_1807_07447     2m1e1g1j           0.0                0.0753135       
atlas_1807_07447     2m1e1j             0.0                0.0753135       
atlas_1807_07447     2m1e2b             0.0                0.0753135       
atlas_1807_07447     2m1e2b1j           0.0                0.0753135       
atlas_1807_07447     2m1e2b2j           0.0                0.0753135       
atlas_1807_07447     2m1e2j             0.0                0.0753135       
atlas_1807_07447     2m1e3j             0.0                0.0753135       
atlas_1807_07447     2m1e4j             0.0                0.0753135       
atlas_1807_07447     2m1g               0.0                0.0753135       
atlas_1807_07447     2m1g1b             0.0                0.0753135       
atlas_1807_07447     2m1g1b1j           0.0                0.0753135       
