analysis             sr                 signal_normevents  signal_err_tot     
atlas_1604_01306     SR1                0.0081578285       0.0007127527854    
atlas_1605_09318     SR-Gbb-A           0.0                6.42195e-05        
atlas_1605_09318     SR-Gbb-B           0.0                6.42195e-05        
atlas_1605_09318     SR-Gbb-C           6.42195e-05        6.42195e-05        
atlas_1605_09318     SR-Gtt-0L-A        0.0                6.42195e-05        
atlas_1605_09318     SR-Gtt-0L-B        0.0                6.42195e-05        
atlas_1605_09318     SR-Gtt-0L-C        0.0                6.42195e-05        
atlas_1605_09318     SR-Gtt-1L-A        0.0003210975       0.000143599167481  
atlas_1605_09318     SR-Gtt-1L-B        0.0004495365       0.000169908826321  
atlas_1609_01599     2muSS              0.0                6.22735e-05        
atlas_1609_01599     3lZ1b4j            0.0                6.22735e-05        
atlas_1609_01599     3lZ2b3j            0.0                6.22735e-05        
atlas_1609_01599     3lZ2b4j            0.0                6.22735e-05        
atlas_1609_01599     3lnoZ2b            6.22735e-05        6.22735e-05        
atlas_1609_01599     4lDF1b             0.0                6.22735e-05        
atlas_1609_01599     4lDF2b             0.0                6.22735e-05        
atlas_1609_01599     4lSF1b             0.0                6.22735e-05        
atlas_1609_01599     4lSF2b             0.0                6.22735e-05        
atlas_1704_03848     SRE1               0.04706884         0.0057503740293    
atlas_1704_03848     SRE2               0.0210756          0.00384786051099   
atlas_1704_03848     SRI1               0.09062508         0.00797909338218   
atlas_1704_03848     SRI2               0.04355624         0.00553164801165   
atlas_1704_03848     SRI3               0.02248064         0.00397405324735   
atlas_1706_03731     Rpc2L0bH           0.0                0.00070252         
atlas_1706_03731     Rpc2L0bS           0.0                0.00070252         
atlas_1706_03731     Rpc2L1bH           0.0                0.00070252         
atlas_1706_03731     Rpc2L1bS           0.0                0.00070252         
atlas_1706_03731     Rpc2L2bH           0.0                0.00070252         
atlas_1706_03731     Rpc2L2bS           0.0                0.00070252         
atlas_1706_03731     Rpc2Lsoft1b        0.0                0.00070252         
atlas_1706_03731     Rpc2Lsoft2b        0.0                0.00070252         
atlas_1706_03731     Rpc3L0bH           0.0                0.00070252         
atlas_1706_03731     Rpc3L0bS           0.00070252         0.00070252         
atlas_1706_03731     Rpc3L1bH           0.0                0.00070252         
atlas_1706_03731     Rpc3L1bS           0.0                0.00070252         
atlas_1706_03731     Rpc3LSS1b          0.0                0.00070252         
atlas_1706_03731     Rpv2L0b            0.00070252         0.00070252         
atlas_1706_03731     Rpv2L1bH           0.0                0.00070252         
atlas_1706_03731     Rpv2L1bM           0.0                0.00070252         
atlas_1706_03731     Rpv2L1bS           0.0                0.00070252         
atlas_1706_03731     Rpv2L2bH           0.0                0.00070252         
atlas_1706_03731     Rpv2L2bS           0.0                0.00070252         
atlas_1708_07875     sr1-lowmass        0.0                0.00070252         
atlas_1708_07875     sr2-highmass       0.0                0.00070252         
atlas_1709_04183     SRA-T0             0.00070252         0.00070252         
atlas_1709_04183     SRA-TT             0.0                0.00070252         
atlas_1709_04183     SRA-TW             0.0                0.00070252         
atlas_1709_04183     SRB-T0             0.00281008         0.00140504         
atlas_1709_04183     SRB-TT             0.0                0.00070252         
atlas_1709_04183     SRB-TW             0.0                0.00070252         
atlas_1709_04183     SRC1               0.0                0.00070252         
atlas_1709_04183     SRC2               0.0                0.00070252         
atlas_1709_04183     SRC3               0.0                0.00070252         
atlas_1709_04183     SRC4               0.0                0.00070252         
atlas_1709_04183     SRC5               0.0                0.00070252         
atlas_1709_04183     SRD-high           0.0                0.00070252         
atlas_1709_04183     SRD-low            0.0                0.00070252         
atlas_1709_04183     SRE                0.0                0.00070252         
atlas_1712_02332     2j-1200            0.0210756          0.00384786051099   
atlas_1712_02332     2j-1600            0.00983528         0.00262858914736   
atlas_1712_02332     2j-2000            0.00421512         0.0017208155341    
atlas_1712_02332     2j-2100            0.01896804         0.003650401        
atlas_1712_02332     2j-2400            0.00140504         0.000993513311838  
atlas_1712_02332     2j-2800            0.0                0.00070252         
atlas_1712_02332     2j-3600            0.0                0.00070252         
atlas_1712_02332     2j-B1600           0.00140504         0.000993513311838  
atlas_1712_02332     2j-B2400           0.00070252         0.00070252         
atlas_1712_02332     3j-1300            0.01967056         0.0037173864221    
atlas_1712_02332     4j-1000            0.00140504         0.000993513311838  
atlas_1712_02332     4j-1400            0.0035126          0.00157088247555   
atlas_1712_02332     4j-1800            0.00070252         0.00070252         
atlas_1712_02332     4j-2200            0.00070252         0.00070252         
atlas_1712_02332     4j-2600            0.0                0.00070252         
atlas_1712_02332     4j-3000            0.0                0.00070252         
atlas_1712_02332     5j-1600            0.00070252         0.00070252         
atlas_1712_02332     5j-1700            0.0                0.00070252         
atlas_1712_02332     5j-2000            0.00210756         0.00121680033333   
atlas_1712_02332     5j-2600            0.00070252         0.00070252         
atlas_1712_02332     6j-1200            0.00070252         0.00070252         
atlas_1712_02332     6j-1800            0.0                0.00070252         
atlas_1712_02332     6j-2200            0.0                0.00070252         
atlas_1712_02332     6j-2600            0.0                0.00070252         
atlas_1712_08119     SRE-MLL-03         0.0                0.00070252         
atlas_1712_08119     SRE-MLL-05         0.0                0.00070252         
atlas_1712_08119     SRE-MLL-10         0.0                0.00070252         
