analysis             sr                 signal_normevents  signal_err_tot   
atlas_1807_07447     2m1e1b             0.0                0.00849685       
atlas_1807_07447     2m1e1b1j           0.0                0.00849685       
atlas_1807_07447     2m1e1b2j           0.0                0.00849685       
atlas_1807_07447     2m1e1b3j           0.0                0.00849685       
atlas_1807_07447     2m1e1g1j           0.0                0.00849685       
atlas_1807_07447     2m1e1j             0.00849685         0.00849685       
atlas_1807_07447     2m1e2b             0.0                0.00849685       
atlas_1807_07447     2m1e2b1j           0.0                0.00849685       
atlas_1807_07447     2m1e2b2j           0.0                0.00849685       
atlas_1807_07447     2m1e2j             0.0                0.00849685       
atlas_1807_07447     2m1e3j             0.0                0.00849685       
atlas_1807_07447     2m1e4j             0.0                0.00849685       
